station_id,station_name,geton_usage,getoff_usage,total_usage,tour_station
2382,표선환승정류장(표선리제주은행),472,441,913,1
591,원노형,195,712,907,0
201,제주대학교,720,186,906,0
2062,현대산부인과,171,723,894,0
1955,청소년문화의집,196,695,891,0
2073,평생학습관,509,376,885,0
1646,중문관광단지입구,224,661,885,1
1748,남성마을입구,461,417,878,0
3282,대정환승정류장(대정읍사무소),766,107,873,1
281,중앙로(중앙성당),645,218,863,0
3273,고산동산(광양방면),583,278,861,0
3277,제주중앙여자고등학교(광양방면),677,181,858,0
311,제주여자상업고등학교,472,385,857,0
1139,한림공원,533,321,854,0
97,제주민속오일장,414,431,845,1
628,한라수목원,82,758,840,1
26,하귀초등학교,500,338,838,0
2104,뉴경남호텔,805,30,835,1
1747,남성마을입구,382,448,830,0
4050,매일올레시장7번입구,680,149,829,0
1956,청소년문화의집,562,267,829,0
586,오라오거리,647,171,818,0
269,삼성초등학교,290,522,812,0
1123,옹포사거리,382,428,810,0
1,국제여객선터미널,781,28,809,0
171,월구마을,265,543,808,0
1772,대륜동주민센터,545,263,808,0
1213,구좌중앙초등학교,392,405,797,0
3372,국세공무원교육원공무원연금공단,779,8,787,0
2057,중문초등학교,441,346,787,0
37,하귀초등학교,309,476,785,0
432,정존마을,409,372,781,0
306,용담1동주민센터,210,561,771,0
3276,제주중앙여자고등학교(아라방면),198,570,768,0
222,삼양동주민센터,501,266,767,1
900,송당로타리,400,361,761,0
152,한국병원,354,406,760,0
285,시민회관,501,259,760,0
359,노형오거리,457,297,754,0
1665,창천리,507,236,743,0
1648,예래입구,236,507,743,0
3279,제주여자중고등학교(광양방면),446,295,741,0
3288,남원환승정류장(남원읍사무소),95,645,740,0
1196,종달초등학교,494,244,738,0
1060,대천환승정류장(세화방향),340,379,719,1
1124,옹포사거리,452,266,718,0
1538,김녕미로공원,577,140,717,1
2703,광치기해변,461,242,703,1
121,제주대학교병원,224,477,701,0
1094,곽지해수욕장,498,192,690,1
2842,제주오설록티뮤지엄,351,338,689,1
398,함덕비석거리,476,202,678,1
1647,예래입구,547,130,677,0
1197,종달초등학교,261,411,672,0
1225,김녕해수욕장,302,369,671,1
2347,성산리입구,478,192,670,0
1140,한림공원,316,350,666,1
1222,만장굴입구,377,285,662,1
221,삼양초등학교,275,387,662,0
272,광양,100,559,659,0
396,함덕농협지소,436,200,636,0
595,연동입구,263,362,625,0
308,제주중학교/제주향교,226,398,624,0
2843,중문관광단지여미지식물원입구,52,572,624,1
1705,서귀포우체국서귀포시청제2청사,584,37,621,0
1186,해녀박물관입구,315,305,620,1
3272,고산동산(아라방면),167,452,619,0
629,연동입구,162,455,617,0
89,신광사거리,278,338,616,0
120,제주대학교병원,432,183,615,0
399,함덕비석거리,200,413,613,0
3230,동광환승정류장1,70,531,601,0
2636,영실매표소,307,293,600,1
1187,해녀박물관입구,319,278,597,1
270,보성시장,481,114,595,0
11,노형오거리,450,144,594,0
2825,중문관광단지여미지식물원입구,520,71,591,1
443,제주한라대학교,379,209,588,0
1685,플레이케이팝박물관,466,122,588,1
2820,삼정지에듀,538,50,588,0
2851,제주월드컵경기장(600번),83,505,588,0
1080,애월고등학교,168,413,581,0
193,함덕리(4구),259,320,579,0
1952,(구)중앙파출소,492,84,576,0
1153,신창환승정류장(한경면사무소),486,87,573,0
1134,한림주유소,270,296,566,0
1079,고내리,314,252,566,0
1463,메종글래드제주,63,491,554,1
301,용문마을회관,473,79,552,0
1200,평대리사무소,166,385,551,0
2244,하모3리,243,300,543,0
109,제주연안여객터미널,298,238,536,0
2493,동광환승정류장6(모슬포방면),179,357,536,0
1226,김녕해수욕장,306,229,535,1
2237,제주민속촌,10,523,533,1
3278,제주여자중고등학교(아라방면),237,294,531,0
2738,하모체육공원,32,497,529,0
1567,금능해수욕장,298,229,527,1
3106,행원목장,158,367,525,1
1730,서귀포여자고등학교,303,221,524,0
1640,상창보건진료소,184,340,524,0
1954,동미빌딩,388,134,522,0
302,용문마을,135,387,522,0
1675,신시가지,196,325,521,0
2719,붉은오름,336,185,521,1
1951,중문관광단지,60,459,519,1
168,남서광마을,237,279,516,0
1666,창천리,100,416,516,0
2114,스위트호텔,297,217,514,1
2279,하모3리축협,171,342,513,0
2094,한국콘도입구,446,63,509,1
2346,성산리입구,168,341,509,0
286,시민회관,170,338,508,0
2704,광치기해변,243,264,507,1
1081,애월고등학교,349,158,507,0
2080,(구)중앙파출소,115,391,506,0
2844,제주월드컵경기장(600번),412,94,506,0
468,제주동중학교,289,214,503,0
1274,교래입구,36,467,503,0
1959,구삼일금고,240,261,501,0
878,신창환승정류장(한경면사무소),89,409,498,0
2469,화순환승정류장(안덕농협),187,306,493,0
1706,서귀포우체국서귀포시청제2청사,40,453,493,0
2956,원노형,73,418,491,0
