station_id,station_name,station_longitude,station_latitude,station_address,geton_usage,getoff_usage,total_usage
76.0,오라1동,126.51621999999999,33.49263,제주특별자치도 제주시 오라일동 1001-9,29,11,40
77.0,사평마을,126.51245,33.49287,제주특별자치도 제주시 오라이동 1209-4,38,16,54
78.0,사평마을,126.51321999999999,33.49257,제주특별자치도 제주시 오라이동 1212-1,23,33,56
79.0,동성마을입구,126.50753,33.4932,제주특별자치도 제주시 오라삼동 2138-1,27,23,50
80.0,연미마을입구,126.5075,33.492979999999996,제주특별자치도 제주시 오라삼동 2107-3,18,33,51
83.0,수산리사무소앞,126.39339,33.46794000000001,제주특별자치도 제주시 애월읍 수산리 506-2,15,35,50
84.0,수산리사무소앞,126.39336999999999,33.46765,제주특별자치도 제주시 애월읍 수산리 463-12,68,46,114
86.0,수산리,126.39453999999999,33.46995,제주특별자치도 제주시 애월읍 수산리 550-1,3,13,16
87.0,세기아파트,126.5015,33.49335,제주특별자치도 제주시 오라삼동 2724-2,27,28,55
88.0,세기아파트,126.50055,33.493559999999995,제주특별자치도 제주시 오라삼동 2728-2,7,25,32
89.0,신광사거리,126.49318000000001,33.49365,제주특별자치도 제주시 연동 305-3,278,338,616
90.0,신성마을,126.48916000000001,33.49367,제주특별자치도 제주시 연동 2335-4,160,251,411
91.0,신성마을,126.48852,33.493829999999996,제주특별자치도 제주시 연동 1941-1,283,161,444
92.0,제성마을,126.4854,33.49361,제주특별자치도 제주시 연동 2335-4,63,104,167
93.0,제성마을,126.48403,33.49374,제주특별자치도 제주시 연동 2419-3,162,64,226
94.0,제주서중학교,126.48168000000001,33.49351,제주특별자치도 제주시 연동 2395-1,21,21,42
95.0,제주서중학교,126.48135,33.49367,제주특별자치도 제주시 연동 2412-1,46,32,78
96.0,제주민속오일장,126.4767,33.493759999999995,제주특별자치도 제주시 노형동 1142-3,670,618,1288
97.0,제주민속오일장,126.47763,33.493520000000004,제주특별자치도 제주시 노형동 1297-1,414,431,845
98.0,제주민속오일장입구,126.47495,33.493759999999995,제주특별자치도 제주시 노형동 1141-3,52,58,110
99.0,월랑로입구,126.47213,33.49368,제주특별자치도 제주시 도두일동 2270-2,166,260,426
100.0,월랑입구,126.47156000000001,33.49395,제주특별자치도 제주시 도두일동 2270-3,125,43,168
107.0,수선화아파트,126.52984,33.48923,제주특별자치도 제주시 도남동 91-3,19,5,24
108.0,제주연안여객터미널,126.53551999999999,33.51898,제주특별자치도 제주시 건입동 918-13,71,403,474
109.0,제주연안여객터미널,126.53535,33.51915,제주특별자치도 제주시 건입동 918-54,298,238,536
110.0,산지변전소,126.53268,33.51713,제주특별자치도 제주시 건입동 984-4,33,14,47
111.0,산지변전소,126.53261,33.51692,제주특별자치도 제주시 건입동 984-119,12,49,61
112.0,종합어시장,126.52793,33.5164,제주특별자치도 제주시 건입동 1429,91,162,253
113.0,탑동푸른쉼터,126.52711000000001,33.51656,제주특별자치도 제주시 건입동 1388-18,140,57,197
