station_id,station_name,station_longitude,station_latitude,station_address
1.0,국제여객선터미널,126.54433,33.52438,제주특별자치도 제주시 건입동 908-20
2.0,오광로입구,126.45618,33.49527,제주특별자치도 제주시 이호이동 1587-4
3.0,오광로입구,126.45623,33.495459999999994,제주특별자치도 제주시 이호이동 1587-1
4.0,이호2동,126.46137,33.49488,제주특별자치도 제주시 이호이동 803-6
5.0,이호2동,126.46122,33.49508,제주특별자치도 제주시 이호이동 803-5
6.0,노형주공아파트,126.47393000000001,33.4906,제주특별자치도 제주시 노형동 2577-2
7.0,노형주공아파트,126.47418,33.49068,제주특별자치도 제주시 노형동 1238-1
8.0,못가름,126.47678,33.48843,제주특별자치도 제주시 노형동 1297-5
9.0,노형우체국,126.47726000000002,33.48765,제주특별자치도 제주시 노형동 1064-6
10.0,노형우체국,126.47833,33.48709,제주특별자치도 제주시 노형동 1297-5
11.0,노형오거리,126.48013,33.48503,제주특별자치도 제주시 노형동 919
12.0,롯데마트,126.48218,33.4819,제주특별자치도 제주시 노형동 711-6
13.0,롯데마트,126.4824,33.48215,제주특별자치도 제주시 노형동 767
14.0,비석동,126.4179,33.48838,제주특별자치도 제주시 애월읍 하귀1리 3010
15.0,관전동,126.41909,33.48883,제주특별자치도 제주시 애월읍 하귀1리 264-7
16.0,관전동,126.42015,33.48983,제주특별자치도 제주시 애월읍 하귀1리 13
17.0,연대마을,126.4228,33.49129,제주특별자치도 제주시 외도일동 2111-1
18.0,연대마을,126.42325,33.49174,제주특별자치도 제주시 외도일동 2552-1
19.0,수정동,126.42858999999999,33.49264,제주특별자치도 제주시 외도일동 646-1
20.0,연대마을,126.42858000000001,33.49282,제주특별자치도 제주시 외도이동 2552
21.0,모감동,126.38115,33.47573,제주특별자치도 제주시 애월읍 구엄리 930-1
22.0,모감동,126.38108000000001,33.47591,제주특별자치도 제주시 애월읍 구엄리 860-5
23.0,번대동,126.39157,33.47889,제주특별자치도 제주시 애월읍 구엄리 50-1
24.0,번대동,126.39263999999999,33.478840000000005,제주특별자치도 제주시 애월읍 하귀2리 2970-1
25.0,하귀리,126.39517,33.47955,제주특별자치도 제주시 애월읍 하귀2리 2442
26.0,하귀초등학교,126.40212,33.48017,제주특별자치도 제주시 애월읍 하귀2리 1908-2
27.0,외도초등학교,126.43321,33.49342,제주특별자치도 제주시 외도이동 234-25
28.0,외도초등학교,126.4344,33.4939,제주특별자치도 제주시 외도이동 272-38
29.0,내도동서마을,126.43848,33.49393,제주특별자치도 제주시 내도동 580-8
30.0,내도동서마을,126.43845,33.49415,제주특별자치도 제주시 내도동 580-1
31.0,내도동동마을,126.44243,33.49309,제주특별자치도 제주시 내도동 310-6
32.0,내도동동마을,126.44242,33.49324,제주특별자치도 제주시 내도동 351-9
33.0,신산마을,126.44445,33.493520000000004,제주특별자치도 제주시 내도동 896
34.0,신산마을,126.44538999999999,33.493520000000004,제주특별자치도 제주시 내도동 274-8
35.0,현사마을,126.45023,33.4947,제주특별자치도 제주시 이호일동 1905-8
36.0,현사마을,126.44961,33.49473,제주특별자치도 제주시 이호일동 1962
37.0,하귀초등학교,126.40105,33.48022,제주특별자치도 제주시 애월읍 하귀2리 3016
38.0,하귀우체국,126.4045,33.48122,제주특별자치도 제주시 애월읍 하귀2리 3016
39.0,하귀우체국,126.40443,33.4813,제주특별자치도 제주시 애월읍 하귀2리 3016
40.0,안남동,126.40616000000001,33.48238,제주특별자치도 제주시 애월읍 하귀1리 3013
41.0,안남동,126.40661999999999,33.48251,제주특별자치도 제주시 애월읍 하귀1리 1375
42.0,남주동,126.40847,33.48368,제주특별자치도 제주시 애월읍 하귀1리 1362-1
43.0,남주동,126.40876000000002,33.48405,제주특별자치도 제주시 애월읍 하귀1리 3013
44.0,하귀환승정류장(하귀하나로마트),126.4121,33.48567,제주특별자치도 제주시 애월읍 하귀1리 569-3
45.0,하귀환승정류장(하귀하나로마트),126.41171000000001,33.48578,제주특별자치도 제주시 애월읍 하귀1리 488-2
