station_id,cluster_group,cluster_target,cluster_level,cluster_x,cluster_y
1,제주시,0,1,126.49247125000001,33.50784875
2,제주시,1,1,126.53391777777779,33.47185888888888
3,제주시,1,1,126.53391777777779,33.47185888888888
4,제주시,0,2,126.49247125000001,33.50784875
5,제주시,0,2,126.49247125000001,33.50784875
6,제주시,2,1,126.49340857142855,33.48735714285714
7,제주시,2,1,126.49340857142855,33.48735714285714
8,제주시,1,2,126.53391777777779,33.47185888888888
9,제주시,1,2,126.53391777777779,33.47185888888888
10,제주시,739,4,126.47833,33.48709
11,제주시,2,2,126.49340857142855,33.48735714285714
12,제주시,3,2,126.4099275,33.456706249999996
13,제주시,3,2,126.4099275,33.456706249999996
14,제주시,740,4,126.4179,33.48838
15,제주시,0,3,126.49247125000001,33.50784875
16,제주시,0,3,126.49247125000001,33.50784875
17,제주시,4,2,126.37813750000001,33.47289875
18,제주시,4,2,126.37813750000001,33.47289875
19,제주시,5,2,126.38923625,33.477335000000004
20,제주시,5,2,126.38923625,33.477335000000004
21,제주시,6,2,126.38619625000001,33.47298875
22,제주시,6,2,126.38619625000001,33.47298875
23,제주시,3,1,126.4099275,33.456706249999996
24,제주시,3,1,126.4099275,33.456706249999996
25,제주시,7,2,126.4991357142857,33.49739142857143
26,제주시,52,3,126.57277857142857,33.48996714285714
27,제주시,36,3,126.50162375,33.48645125
28,제주시,36,3,126.50162375,33.48645125
29,제주시,8,2,126.52698555555554,33.48554444444444
30,제주시,8,2,126.52698555555554,33.48554444444444
31,제주시,9,2,126.44133571428571,33.46005857142857
32,제주시,9,2,126.44133571428571,33.46005857142857
33,제주시,10,2,126.54659375,33.48646375
34,제주시,10,2,126.54659375,33.48646375
35,제주시,11,2,126.53440400000002,33.492535999999994
36,제주시,11,2,126.53440400000002,33.492535999999994
37,제주시,52,3,126.57277857142857,33.48996714285714
38,제주시,4,1,126.37813750000001,33.47289875
39,제주시,4,1,126.37813750000001,33.47289875
40,제주시,12,2,126.41324857142857,33.466368571428575
41,제주시,12,2,126.41324857142857,33.466368571428575
42,제주시,13,2,126.5170525,33.62542375
43,제주시,13,2,126.5170525,33.62542375
44,제주시,5,1,126.38923625,33.477335000000004
45,제주시,5,1,126.38923625,33.477335000000004
46,제주시,741,4,126.41353,33.48655
47,제주시,14,2,126.503047,33.497930000000004
