geton_stataion_name,usage
한국콘도입구,87
남주중고등학교,87
도순동,87
신제주초등학교,86
중흥S클래스아파트,86
월정리,86
오라3동,85
애월신협,84
월구마을,84
근로복지공단,84
연수마을,84
국제여객선터미널,83
대륜동주민센터,83
제주의료원,82
공천포,82
오라1동,82
농협지역본부,82
남주동,81
삼화초등학교,81
S중앙병원,81
유승한내들아파트,81
LH12단지,80
어리목,80
강정농협,80
대동마을,80
월랑입구,80
구좌중앙초등학교,79
종달초등학교,79
하귀휴먼시아입구,79
반참모르,78
법환농협,78
성산리입구,78
경제통상진흥원,77
제주영지학교,77
정든마을,77
천지동주민센터,77
한림여자중학교,77
농협보목지소,76
해오름아파트,76
김녕리,76
관전동,76
협재리,76
이도주공아파트,76
서귀중앙여자중학교,76
주공2단지,75
제일빌리지,75
제주교통방송아라아이파크,75
한림공원,75
예래입구,75
중흥/골드클래스아파트,75
고래왓,74
내도동동마을,74
사계리사무소,74
조천환승정류장(조천리사무소),74
화순리,74
서귀포농협,74
구엄리,74
한림주유소,73
상원동,73
고산환승정류장(고산1리),73
삼다체육공원입구,73
제주고등학교,73
신산마을,72
도리초등학교,72
송당로타리,71
동성마을,71
월산정수장입구,71
조천리새마을공장,71
사려니숲길,70
성산하이츠빌라,70
신화역사공원,69
조천만세동산,69
월랑로입구,69
삼정지에듀,69
우당도서관,69
신산환승정류장(성산농협신산지점),69
금능해수욕장,68
하례1리입구,68
뉴경남호텔,68
큰구릉내,68
혜성무지개타운,68
평화로광령1리입구,68
강정초등학교,68
으뜸마을,67
광지동,67
광령1리사무소,66
신사동(종점),66
아름마을아파트,66
애월리,66
동복리,66
상창보건진료소,65
의귀환승정류장(의귀초등학교),65
신제주오피스텔,65
제주신화월드테마파크,64
성읍농협,64
애월중학교,64
창천리남당물동산,64
제주학생문화원,63
블랭섬홀아시아,63
한국통신,63
명신마을,62
비자림,62
구산마을입구,62
제대아파트,62
제주시외버스터미널(종점),61
제주제일중학교,61
산굼부리,61
한림2리,60
모슬포우체국,60
관음사,60
오등동입구,60
법호촌온성학교,60
성읍1리,60
제주한라대학교(종점),60
오래물광장,60
시티주유소,59
인화동입구,59
회수마을회관,59
동화로입구,59
이도2동행정복지센터,59
산방산,59
국세공무원교육원공무원연금공단,59
제주도립미술관입구,59
한라생태숲,58
옹포사거리,58
세화리구좌농협,58
고내리,58
한림체육관,58
제주서중학교,58
금빛신협,58
제주월드컵경기장(600번),57
제주오설록티뮤지엄,57
가시나물,57
진양빌라,56
안덕계곡,56
뒤통모루,56
한림고등학교,56
대신중학교,56
매촌,55
플레이케이팝박물관,55
용흥동,55
인성리(남문지앞사거리),55
제주삼양동유적,55
제주자동차검사소,54
돈대산입구,54
망장포입구,53
하나로아파트,53
서귀포시중앙도서관,53
제주돌문화공원,53
영천동주민센터,53
동광환승정류장6(모슬포방면),53
위미초등학교,52
중문관광단지,52
1100도로입구,52
고성1리종합운동장,51
제주국제공항(종점),51
위미1리사무소,51
행원리,51
월령리,51
제일교동문시장입구,51
수정동,50
왕대왓,50
내도동서마을,50
봉성하나로마트,50
첨단꿈에그린2단지아파트,50
광치기해변,50
금능리,50
서귀포중학교,49
교래사거리,49
동홍동청소년문화의집,49
삼양해수욕장입구,49
제주동여자중학교,49
이도초등학교,49
안남동,49
제주국제자유도시개발센터,49
주암주택,49
보로미마을,48
탐라광장,48
대섬입구,48
제주국제컨벤션센터중문대포해안주상절리대,48
옹포리,48
태흥3리사무소,47
서귀포보건소,47
교래입구,46
법환새마을금고,46
도련반석스위트타운,46
신광사거리,46
광령초등학교,46
유수암상동,46
라마다프라자제주호텔,46
동성동,46
상예2동,46
아르미아파트,45
대원마을,45
이호동주민센터,45
현사마을,45
이화아파트,45
사라봉경로당입구,45
제대마을,44
중문관광단지여미지식물원입구,44
번대동,44
제주연안여객터미널,43
온평초등학교,43
섯가름,43
만장굴입구,43
광평동로,43
광평동로노형성당,43
판포리,42
남광로입구,42
신천리,42
한라산교회,42
방선문빌리지,42
고성2리,42
대정초교후문,42
탐라도서관,42
한동리서동,42
대포동,41
하예중동,41
천지연폭포입구,41
연미마을입구,40
동부보건소,40
신양리입구,40
하예하동,40
태흥초등학교,40
켄싱턴리조트악근천,40
세천동,40
하귀휴먼시아2단지앞,40
성읍농협앞,40
용두암현대1차아파트,40
덕수초등학교,39
용담사거리,39
월성마을회관,39
한국BMI,39
신천지아파트,39
탄산온천,39
명주주택,38
대천환승정류장(제주방향),38
무도동,38
부민장례식장,38
서광서리,37
산여리통입구,37
서귀포칼호텔,37
해녀박물관입구,37
이도근린공원,37
함덕5구,37
김녕미로공원,37
제주썬호텔,37
고성리성산농협,37
제주장애인요양원,36
우남동,36
영평하동,36
호근사거리,36
디지털융합센터,36
신세계빌라,36
해병부대,36
평안전문요양원,36
문화마을,36
신효동,36
표선고등학교,36
서소동,36
계명동입구,36
오도마을,35
우령서로입구,35
대천동주민센터,35
신도1리,35
한동리,35
거로사거리,35
납읍리사무소,35
장전리사무소,35
남광초등학교,34
교래리보건소,34
새서귀초등학교,34
고산우체국앞,34
평대리사무소,34
오라초등학교,34
성산고등학교,34
해녀박물관,34
뒷빌레,33
위미3리마을회관,33
서귀포고등학교,33
귀덕초등학교,33
표선파출소,33
샤인빌리조트입구,33
평대초등학교,33
승천로,32
애월읍사무소,32
여객선대합실,32
시흥리사무소,32
종달리,32
L마트,32
강창학종합경기장,32
김녕해수욕장,32
제주소방서,32
금능석물원,32
이호동동마을,31
서광리,31
동성마을입구,31
계명동,31
서귀포항,31
하천하동,31
예래동주민센터,31
솔동산입구,31
곽지모물,31
아시아CGI애니메이션센터,31
하나호텔한국관광공사,31
아랑조을거리입구,30
대원상동,30
별빛누리공원/난타공연장,30
용화로,30
표선오일시장,30
반석아르미아파트,30
어촌계입구,30
씨에스호텔,30
온난화대응농업연구소,30
문서교,30
신산로,30
천지연폭포(종점),30
어리목입구,30
남흘동,30
이호테우해수욕장,29
대천환승정류장(세화방향),29
자운당,29
주공6단지,29
제주여자중고등학교,29
새가름,29
도두동,29
하얏트호텔,29
법환초등학교,29
사계리동동,29
애월하나로마트,29
신평리,29
하도리,28
금성리,28
미듬아파트,28
혼인지입구,28
신흥교차로,28
한라도서관입구,28
미래컨벤션센터,28
삼주연립주택,28
제주도립미술관,27
성읍환승정류장(성읍1리사무소),27
신성동,27
서홍새마을금고,27
오조해녀의집,27
서성동,27
표선면충혼묘지,27
무릉1리리사무소앞,26
오봉교,26
성산리,26
삼달교차로,26
남원생활체육관,26
6호광장,26
도영슈퍼,26
고내리애월119센터,26
예래오마트,26
납읍리섯잣길,26
성읍2리,26
"다랑쉬오름입구(남),손지오름",26
달샘마을,26
수원리,26
수농원,26
이도수선화아파트,26
동광환승정류장1,26
롯데호텔,26
고산1리(구출장소),26
서홍동복지회관,26
하귀휴먼시아2단지입구,26
공물,25
도평마을입구,25
평대리동동,25
정실오거리,25
외돌개,25
공무원연금공단,25
서호북문,25
북촌리해동,25
한마음근린공원,25
구억리,25
굿밭거리,25
신례초등학교,25
성산포수협,25
화북서마을,24
원당봉,24
동회천,24
비양동,24
충혼묘지광장,24
화전마을,24
반석주택,24
학원동,24
와흘리,24
위미3리,24
부록마을,23
섭지코지,23
민속자연사박물관,23
하례2리입구,23
신풍입구,23
모감동,23
영락리,23
세화2리사무소,23
상예입구,23
초록마을,23
대화동,23
입석동,23
GM빌라,22
서호새마을금고,22
해안,22
강정천,22
헬스케어타운리조트,22
서귀포시외버스터미널,22
한라도서관,22
수원주유소,22
검은여입구,22
표선초등학교,22
동문,22
동물개동산앞,22
상효입구,22
대천환승정류장(표선방향),22
성산농협,22
선흘1리,22
화물청사입구,22
어영마을,22
신산마을입구,22
뒷동산,22
구억리옹기체험관,22
예래동노인회관,22
신산리,22
농협하나로마트,21
"테디밸리골프앤리조트,헬로키티아일랜드",21
가마초등학교,21
삼도1동주민센터,21
금산목,21
월라봉,21
서복전시관,21
하모3리축협,21
쇠소깍하효항입구,21
거로마을,21
대정읍사무소,21
조천체육관,21
송당초등학교,21
어음2리사무소,20
앞동산,20
수산리사무소,20
염돈,20
수산1리비석거리,20
진평연립입구,20
씨사이드홈,20
평대리서동,20
신천리취락구조,20
지세못,20
동명리,20
