geton_stataion_name,usage
일출랜드입구,2
오등상동,2
방애왓,2
배낭골,2
법기동,2
소암기념관,2
솜반천,2
송당리사무소,2
송당상동,2
셰프라인월드,2
수산리,2
선담밭,2
신양2리,2
신양2리입구,2
서문로터리입구,2
서광서리3교차로,2
서광리넙게오름(축협),2
상위미,2
상명리동카름,2
신흥2리,2
신흥2리사무소,2
신흥리포구,2
상귀동카름,2
사리물,2
봉개초등학교,2
보목신협앞,2
대흘리,2
소보리당입구,2
난산앞동산,2
제주평화박물관,2
제주레일바이크,2
제주항공우주호텔,2
제주서부신협,2
종달항,2
제일농장앞,2
제주시공동묘지관리소,2
관음사등산로입구,2
다랑쉬오름입구(북),2
대림한숲빌라,2
제지기오름,2
죽성마을입구,2
관통사,2
가원,2
조수1리중동,2
장애인복지회관,2
"남원읍충혼묘지,물영아리",2
상덕천마을입구,1
상명리동동,1
화순리동하동경로당,1
대평리사무소,1
상덕천,1
하효북문,1
화순리생태탐방로,1
산양곶자왈,1
비안동,1
불미터,1
복호동,1
광령2리입구,1
삼달2리사무소,1
화순해안경기안전센터사계출장소,1
하천리세골세,1
세계자동차제주박물관,1
(구)화산초등학교,1
KIS빌리지,1
감귤작목반입구,1
세화3리웃동네,1
세화1리북문,1
강다리,1
하늘정원,1
하덕천,1
세곳못,1
성산청소년수련원,1
하천리,1
하례1리,1
거린사슴전망대,1
서호초등학교,1
서호입구,1
고림동,1
환경시설관리소,1
고평동,1
별내린전망대,1
생이집동산,1
별진밭,1
방지물,1
한라산둘레길(천아숲길입구),1
한장동,1
남문동,1
두문포노린당,1
동홍반석아파트입구,1
내영굴,1
동상효회전교차로,1
농굴왓입구,1
함덕에덴빌리지,1
농기구수리센터,1
동모루,1
돗소,1
농협서부지점,1
도영슈퍼앞,1
도림사,1
더라목,1
헬스케어타운,1
대서리,1
대성동,1
향기마을,1
대흘2리새동네,1
소남동산,1
막거리,1
구오일시장,1
멍중내,1
번개과학체험관,1
구좌정수장,1
대한목장,1
화북초등학교후문,1
미타요양원,1
금능농공단지입구,1
문수동,1
금산학교마을,1
금악,1
한림발전소,1
금악입구,1
꽃동산,1
홍수암,1
명월하동,1
명월상동,1
명리동알동네,1
혼착밭,1
한스빌타운하우스,1
한울랜드,1
둔지오름,1
지미봉입구,1
소란마을,1
월림리,1
이시돌하단지,1
의귀초등학교,1
의귀리월산동,1
탐라승마장,1
응전동,1
은혜마을종점,1
유수암천,1
위미리(위미2리교차로),1
하귀리,1
월산동,1
테왓동네,1
원동입구,1
평지동,1
용흥리마을회관,1
용수리마을회관,1
통물,1
오등상동복지회관,1
예향원,1
예원동민회관앞,1
예담요양원,1
영주산,1
역지동,1
어음2리입구,1
어음1리입구,1
이천장물,1
이호동물병원,1
크라운골프연습장,1
자동차검사소,1
진군을리,1
진동산,1
주전동,1
존손이굴,1
진학농원,1
조천도서관,1
조수2리웃동네,1
조수2리,1
제주이야기,1
첨단과기단지입구교학촌아파트,1
제주노인복지타운,1
청수마을회관,1
제일교,1
"청화마을입구,진밭동네",1
정방동문화의집,1
추자면사무소,1
저지리신흥동,1
저지리성전동,1
저지리,1
장지동산,1
장머들,1
작박동네,1
칡오름,1
양잠단지,1
위미감협,1
석교동,1
신흥농장,1
하가입구,1
알송당,1
시청후문,1
신흥1리사무소,1
신산마을주차장,1
평화박물관입구,1
신풍리화단이소,1
앞거리,1
알밤오름,1
표선생활체육관,1
신안동교차로,1
양돈단지,1
하귀농협장례식장,1
신효웃동네,1
굴집터,0
까끄래기오름,0
제주시청,0
국립기상과학원,0
제주성지,0
제주모자원입구,0
성산서부게이트볼장,0
성산읍공설묘지입구,0
제주신화월드서머셋,0
김영갑갤러리두모악,0
선흘분교입구,0
섯동네,0
화랑마을,0
제2효레교,0
체오름,0
남영농장,0
남용통상,0
하례1리복지회관,0
남학교,0
전답동,0
저청중학교,0
선흘1리운동장,0
저지리알못,0
선인동사거리,0
선린지,0
하가리노인회관,0
제주연구원,0
성읍119지역센터,0
신명동,0
화순금모래해수욕장,0
세화3리중동네,0
흥국사,0
4.3평화공원입구,0
가시리사무소,0
가시리체육공원,0
효례교,0
효돈축구공원,0
중문골프장,0
각시물,0
중문게이트볼장,0
쇠질곳,0
강정의례회관,0
종합문예진흥사업소,0
거문오름입구,0
경흥농원,0
황세왓동산,0
고망난돌입구,0
고산2리전답동,0
고상동,0
고수동입구,0
조천만세동산(종점),0
골물동입구,0
화순해안경비안전센터사계출장소,0
하가삼거리,0
관광단지입구,0
신도2리,0
장전초등학교,0
제주해양경찰서,0
제주자동차운전학원,0
중문사거리,0
양수동입구,0
장작평사,0
대전동,0
안좌동,0
토산1리송천교,0
토산1리운동장,0
토산1리운동장입구,0
명춘동산,0
평화통일불사리탑,0
용마마을,0
목다운목,0
못거리,0
와흘상동,0
와흘,0
오라동주민센터,0
삼양3동,0
삼매봉중계소입구,0
삼매봉,0
평대,0
삼달1리게이트볼장,0
한라용사촌,0
벌탬못,0
영주고입구(2호동),0
평대마장,0
사장동,0
평화동회관,0
보목포구(도착),0
보성리상동,0
블루마운틴커피박물관,0
봉개큰동네,0
한남섯동네,0
불미거동산,0
만장굴,0
상모,0
위미2리교차로,0
신창리농산물종합유통센터,0
대천환승정류장(종점),0
행원리오션뷰2차,0
한남농장,0
서부보건소,0
하모체육공원,0
이화농장,0
더마파크,0
해안동,0
신양입구,0
서귀포동부도서관,0
도리초등학교(종점),0
서귀포농업기술센터,0
도순거린내,0
이스트힐스,0
한전사택,0
동광환승정류장(종점),0
이스트소프트,0
신창상동,0
동사라마을,0
신촌초등학교(종점),0
동상동,0
새소망요양병원,0
상효원수목원,0
동일2리입구,0
동하동,0
위미정수장,0
상창교차로,0
디케이서비스,0
풍력생태길입구,0
